league_id,league_name,season,table_name,completed_match_count,covered_match_count,match_coverage_rate_pct,total_rows,rows_per_match_p0,rows_per_match_p1,rows_per_match_p5,rows_per_match_p25,rows_per_match_p50,rows_per_match_p75,rows_per_match_p95,rows_per_match_p99,rows_per_match_max
53,Ligue1,2022/2023,fact_team_match_stats,380,380,100.0,1196,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0
53,Ligue1,2023/2024,fact_match_events,306,306,100.0,6050,10.0,14.0,15.0,17.0,20.0,22.0,25.0,28.0,29.0
53,Ligue1,2023/2024,fact_match_lineup,306,306,100.0,12225,38.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0
53,Ligue1,2023/2024,fact_player_match_stats,306,306,100.0,9392,26.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,33.0
53,Ligue1,2023/2024,fact_shotmap,306,305,99.6732,7797,10.0,14.0,17.0,21.0,25.0,29.0,36.0,39.0,41.0
53,Ligue1,2023/2024,fact_team_match_stats,306,306,100.0,1832,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
53,Ligue1,2024/2025,fact_match_events,306,306,100.0,6161,12.0,13.0,15.0,18.0,20.0,22.0,25.0,28.0,30.0
53,Ligue1,2024/2025,fact_match_lineup,306,306,100.0,12218,37.0,38.0,39.0,40.0,40.0,40.0,40.0,42.0,43.0
53,Ligue1,2024/2025,fact_player_match_stats,306,306,100.0,9413,25.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,34.0
53,Ligue1,2024/2025,fact_shotmap,306,306,100.0,7655,9.0,14.0,16.0,21.0,25.0,29.0,34.0,38.0,47.0
53,Ligue1,2024/2025,fact_team_match_stats,306,306,100.0,1836,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
53,Ligue1,2025/2026,fact_match_events,306,305,99.6732,6078,12.0,13.0,15.0,18.0,20.0,22.0,25.0,28.0,32.0
53,Ligue1,2025/2026,fact_match_lineup,306,306,100.0,12205,38.0,38.0,39.0,40.0,40.0,40.0,40.0,40.0,42.0
53,Ligue1,2025/2026,fact_player_match_stats,306,306,100.0,9408,22.0,27.0,28.0,30.0,31.0,32.0,32.0,32.0,34.0
53,Ligue1,2025/2026,fact_shotmap,306,306,100.0,7618,4.0,11.0,16.0,21.0,25.0,28.0,36.0,42.0,54.0
53,Ligue1,2025/2026,fact_team_match_stats,306,306,100.0,1834,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
