table_name,field_name,family,applicability,league_id,league_name,season,applicable_records,non_null_records,non_null_rate_pct,blank_string_records,zero_records,covered_matches,total_matches_in_partition,match_coverage_rate_pct,vs_benchmark_epl_same_season_delta_pct,vs_prev_season_same_league_delta_pct,first_season_seen,last_season_seen,all_null_flag,all_zero_flag,status
fact_match_events,assist_player_id,standard_match,CONDITIONAL,87,LaLiga,2024/2025,995,673,67.6382,0,0,308,359,85.7939,-4.4694,-1.4165,2020/2021,2025/2026,False,False,OK
fact_match_events,assist_player_id,standard_match,CONDITIONAL,87,LaLiga,2025/2026,1024,702,68.5547,0,0,329,365,90.137,2.8131,0.9165,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2020/2021,1157,1157,100.0,0,0,353,353,100.0,,,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2021/2022,1374,1374,100.0,0,0,359,359,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2022/2023,1434,1434,100.0,0,0,364,364,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2023/2024,1737,1737,100.0,0,0,374,374,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2024/2025,1678,1678,100.0,0,0,365,365,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,47,EPL,2025/2026,1523,1523,100.0,0,0,368,368,100.0,,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2020/2021,1553,1553,100.0,0,0,371,371,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2021/2022,1610,1610,100.0,0,0,374,374,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2022/2023,1389,1389,100.0,0,0,363,363,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2023/2024,1287,1287,100.0,0,0,294,294,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2024/2025,1260,1260,100.0,0,0,296,296,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,53,Ligue1,2025/2026,1239,1239,100.0,0,0,298,298,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2020/2021,1132,1132,100.0,0,0,290,290,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2021/2022,1102,1102,100.0,0,0,295,295,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2022/2023,1301,1301,100.0,0,0,295,295,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2023/2024,1339,1339,100.0,0,0,300,300,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2024/2025,1252,1252,100.0,0,0,297,297,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,54,Bundesliga,2025/2026,1231,1231,100.0,0,0,297,297,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2020/2021,1699,1699,100.0,0,0,377,377,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2021/2022,1876,1876,100.0,0,0,380,380,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2022/2023,1817,1817,100.0,0,0,377,377,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2023/2024,1760,1760,100.0,0,0,372,372,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2024/2025,1596,1596,100.0,0,0,373,373,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,55,SerieA,2025/2026,1513,1513,100.0,0,0,371,371,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2020/2021,1737,1737,100.0,0,0,370,370,100.0,0.0,,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2021/2022,2074,2074,100.0,0,0,378,378,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2022/2023,2047,2047,100.0,0,0,371,371,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2023/2024,1947,1947,100.0,0,0,375,375,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2024/2025,1841,1841,100.0,0,0,372,372,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,card_type,standard_match,CONDITIONAL,87,LaLiga,2025/2026,1821,1821,100.0,0,0,375,375,100.0,0.0,0.0,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2020/2021,5812,2282,39.2636,0,0,379,380,99.7368,,,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2021/2022,6162,2530,41.0581,0,0,379,380,99.7368,,1.7945,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2022/2023,7112,2617,36.797,0,0,379,380,99.7368,,-4.2611,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2023/2024,7605,3066,40.3156,0,0,380,380,100.0,,3.5186,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2024/2025,7595,2879,37.9065,0,0,380,380,100.0,,-2.4091,2020/2021,2025/2026,False,False,OK
fact_match_events,event_id,standard_match,OPTIONAL,47,EPL,2025/2026,7290,2650,36.3512,0,0,380,380,100.0,,-1.5553,2020/2021,2025/2026,False,False,OK
