table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
dim_player,54,Bundesliga,2024/2025,CONTENT_MISMATCH,516,516,0,0,516,2,2,ACCENT_NORMALIZATION_ONLY:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=52;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2},1197030:ACCENT_NORMALIZATION_ONLY;167008:ACCENT_NORMALIZATION_ONLY
dim_player,54,Bundesliga,2025/2026,CONTENT_MISMATCH,532,532,0,0,532,5,5,ACCENT_NORMALIZATION_ONLY:4;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=54;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 4, 'TRULY_DIFFERENT_NAME': 1}",1025462:ACCENT_NORMALIZATION_ONLY;1047671:TRULY_DIFFERENT_NAME;167008:ACCENT_NORMALIZATION_ONLY;307317:ACCENT_NORMALIZATION_ONLY;860914:ACCENT_NORMALIZATION_ONLY
dim_player,55,SerieA,2020/2021,CONTENT_MISMATCH,639,640,0,0,639,2,2,TRULY_DIFFERENT_NAME:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=128;name_blank_in_allwin=0;name_diff_breakdown={'TRULY_DIFFERENT_NAME': 2},1052898:TRULY_DIFFERENT_NAME;768331:TRULY_DIFFERENT_NAME
dim_player,55,SerieA,2021/2022,CONTENT_MISMATCH,660,660,0,0,660,2,2,TRULY_DIFFERENT_NAME:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=113;name_blank_in_allwin=0;name_diff_breakdown={'TRULY_DIFFERENT_NAME': 2},1052898:TRULY_DIFFERENT_NAME;768331:TRULY_DIFFERENT_NAME
dim_player,55,SerieA,2022/2023,CONTENT_MISMATCH,641,641,0,0,641,2,2,TRULY_DIFFERENT_NAME:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=90;name_blank_in_allwin=0;name_diff_breakdown={'TRULY_DIFFERENT_NAME': 2},1052898:TRULY_DIFFERENT_NAME;768331:TRULY_DIFFERENT_NAME
dim_player,55,SerieA,2023/2024,CONTENT_MISMATCH,637,637,0,0,637,2,2,ACCENT_NORMALIZATION_ONLY:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=116;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2},1526689:ACCENT_NORMALIZATION_ONLY;823658:ACCENT_NORMALIZATION_ONLY
dim_player,55,SerieA,2024/2025,CONTENT_MISMATCH,648,648,0,0,648,3,3,ACCENT_NORMALIZATION_ONLY:3,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=116;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 3},1049999:ACCENT_NORMALIZATION_ONLY;1526689:ACCENT_NORMALIZATION_ONLY;823658:ACCENT_NORMALIZATION_ONLY
dim_player,55,SerieA,2025/2026,CONTENT_MISMATCH,630,630,0,0,630,2,2,ACCENT_NORMALIZATION_ONLY:2,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=142;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2},1526689:ACCENT_NORMALIZATION_ONLY;823658:ACCENT_NORMALIZATION_ONLY
dim_player,87,LaLiga,2020/2021,CONTENT_MISMATCH,614,614,0,0,614,1,1,ACCENT_NORMALIZATION_ONLY:1,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=89;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 1},1031325:ACCENT_NORMALIZATION_ONLY
dim_player,87,LaLiga,2021/2022,CONTENT_MISMATCH,661,661,0,0,661,3,3,ACCENT_NORMALIZATION_ONLY:1;TRULY_DIFFERENT_NAME:2,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=86;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 1, 'TRULY_DIFFERENT_NAME': 2}",1031325:ACCENT_NORMALIZATION_ONLY;531629:TRULY_DIFFERENT_NAME;793255:TRULY_DIFFERENT_NAME
